   k       por
 306.00   26.33
  61.00   25.41
1059.00   30.92
1120.00   30.00
 540.00   29.75
 272.00   27.01
 430.00   28.34
  84.00   25.55
 788.00   30.16
 490.00   28.72
 541.00   28.76
1513.00   29.49
1290.00   31.24
 540.00   28.72
   0.01   21.70
   0.26   22.21
   0.01   11.69
   0.56   18.10
  95.00   20.24
  54.00   23.67
 450.00   27.93
 283.00   27.25
 407.00   25.93
 650.00   28.02
 730.00   28.98
 430.00   27.91
 900.00   30.03
 500.00   28.97
 440.00   27.61
 420.00   27.57
 318.00   26.76
 324.00   27.35
 565.00   28.72
 714.00   29.17
1212.00   29.64
 315.00   25.26
 591.00   28.70
 300.00   27.26
 386.00   28.29
 710.00   29.51
 495.00   28.06
 960.00   29.82
 137.00   28.00
 920.00   29.91
1010.00   30.75
1150.00   30.68
1480.00   31.49
  58.80   18.80
  59.00   18.20
 179.00   19.80
 848.00   26.30
 713.00   25.40
 288.00   24.00
 382.00   24.10
 743.00   24.80
 298.00   23.80
 514.00   25.80
 448.00   25.60
 340.00   24.60
 540.00   26.80
 338.00   26.00
   0.01   12.28
   0.01   13.99
  10.10   21.28
  13.30    8.47
 365.00   28.40
  37.70   22.67
1150.00   30.28
 210.00   28.53
 460.00   27.93
 291.00   26.26
 630.00   28.78
 610.00   29.29
 740.00   28.87
  54.00   25.88
1380.00   30.95
 970.00   32.10
   0.01   17.78
   0.01   18.88
1000.00   28.95
 460.00   28.01
 560.00   29.15
 450.00   28.70
 570.00   28.63
 590.00   29.49
 200.00   26.01
 510.00   28.49
 215.00   26.93
 420.00   30.45
  83.00   23.67
1280.00   30.42
 710.00   29.09
 330.00   25.76
   0.05   19.06
   0.07   18.34
   0.03   18.25
  82.20   24.30
  94.80   24.10
 188.00   26.10
  88.30   24.50
 896.00   28.50
 727.00   28.70
 648.00   28.10
  51.10   13.70
 204.00   22.80
 465.00   26.90
 370.00   27.80
  60.70   22.70
 510.00   28.00
 216.00   25.90
 321.00   28.00
 469.00   27.90
  42.30   23.00
 376.00   28.00
 491.00   28.90
 409.00   27.70
 265.00   26.80
 321.00   26.90
  48.20   24.00
 148.00   26.20
 412.00   28.30
 229.00   27.20
 220.00   26.70
 324.00   26.80
 313.00   27.50
 620.00   28.70
 800.00   28.80
1280.00   29.90
 439.00   27.60
 422.00   27.30
 719.00   29.10
 709.00   29.10
 892.00   28.30
 859.00   29.10
 676.00   28.40
 221.00   26.00
 390.00   26.00
 120.00   23.30
 379.00   26.70
 186.00   21.30
 684.00   27.60
 614.00   29.00
 337.00   28.30
 353.00   27.60
 330.00   28.40
 343.00   28.20
 760.00   28.90
 470.00   27.40
 684.00   28.20
 212.00   21.00
 319.00   25.10
 273.00   24.30
 572.00   26.00
 466.00   25.00
 383.00   25.20
 560.00   25.90
 179.00   24.70
 247.00   24.40
 195.00   22.80
 430.00   25.00
   1.33   14.80
   0.72   14.10
