   DEPTH     SONI      POR-DEN     GR          RR       Core Por   Core K
  9127.0    64.879      6.584     11.884     4.9689       8.90       5.09
  9128.0    65.036      6.832     12.737     3.7176      14.10     541.00
  9129.0    65.140      7.143     15.912     3.7377      15.10      48.90
  9130.0    63.812      5.590     15.842     4.7312      12.10      10.50
  9131.0    63.070      7.205     14.738     4.3542      10.80      21.70
  9132.0    63.474      7.143     13.814     3.5719      10.70      17.40
  9133.0    64.198      6.584     13.140     4.4480      11.50      28.70
  9134.0    64.608      6.770     14.978     6.2329      12.40      44.40
  9135.0    64.220      5.590     14.123     3.3379      13.70      44.90
  9136.0    63.225      3.913     13.242     6.2770      11.20      17.10
  9137.0    62.672      5.714     12.465     3.8793       9.80      27.10
  9138.0    63.098      6.957     10.934     4.7469      16.20    1472.00
  9139.0    62.508      6.025      9.497     5.9222      11.70     527.00
  9140.0    61.751      6.398      8.938     4.0742      10.90      43.50
  9141.0    62.077      8.509      9.560     8.2497      13.00      57.00
  9142.0    63.030      9.814     11.777     3.5175      11.60      34.20
  9143.0    64.710     10.186     11.706     6.8844      13.50     140.00
  9144.0    66.167     11.863      9.614     8.9290      15.30      57.50
  9145.0    64.518     12.360      9.036     9.0093      13.40      39.60
  9146.0    63.119     12.112     10.656     7.4189      11.30      29.00
  9147.0    63.327     10.497     12.080     4.6693      12.20      40.00
  9148.0    64.056      8.758     13.094     7.8954      14.70     112.00
  9149.0    64.687      7.640     13.358     9.4430      14.10      99.30
  9150.0    65.268     10.373     11.021     6.4149      14.10      50.80
  9151.0    64.739     11.863      9.850     5.8541      16.90      84.40
  9152.0    64.721     11.056     13.777     5.6626      13.10      26.80
  9153.0    67.108      9.627     14.733     5.8262      13.60      52.30
  9154.0    69.938      6.149     14.960     7.5548      16.10      86.00
  9155.0    65.481      8.385     17.794     2.7054      10.30      18.30
  9156.0    61.858     10.000     17.583     3.0691       8.50       0.46
  9157.0    62.372      9.441     16.856     3.0215      11.70      20.60
  9158.0    62.255      9.130     16.421     3.7865      11.20      11.30
  9159.0    59.682      8.199     17.729     4.5299      11.80      21.80
  9160.0    59.752      8.137     22.945     3.7114       7.20       2.56
  9161.0    61.560      9.006     20.612     5.8927       7.30       2.29
  9162.0    62.474      9.503     14.660     4.1054      10.10       6.37
  9163.0    63.740      9.503     12.897     3.5034      13.20       7.51
  9164.0    65.712     12.422     12.379    11.0557      16.30     102.00
  9165.0    65.214     13.540     10.879     5.6067      12.60      28.50
  9166.0    63.980     13.851     10.563     5.1959      15.80      30.90
  9167.0    63.180     13.478     11.280     5.7932      13.40      17.40
  9168.0    62.603     11.242     12.856     4.4074      14.90      40.60
  9169.0    64.399     11.180     10.938     6.9246      14.10       4.28
  9170.0    64.236     12.609      8.274    14.4716      13.00      15.00
  9171.0    61.853     12.112      8.141     5.7755      13.50      63.10
  9172.0    59.566     11.739      9.544     6.4954      10.20      15.20
  9173.0    60.414     10.559     10.784     3.7618       7.90       4.87
  9174.0    61.353      8.199     11.600     4.2604      13.20       3.61
  9175.0    61.817      8.758     10.886     4.1835      10.50      12.20
  9176.0    62.536      8.385     10.268     5.6035       6.80      15.80
  9181.5    63.001     10.559     11.205     6.3048      13.30     204.00
  9182.5    61.823      9.752     11.337     9.1268      10.60       0.97
  9183.5    60.414      7.578     12.107     6.0643       9.50      15.40
  9184.5    57.905      5.652     12.364     4.5293       5.70       8.07
  9185.5    56.815      5.342     14.203     7.2387       6.60       9.92
  9186.5    56.967      5.404     11.881     5.9004       5.50       2.39
  9187.5    57.788      5.590      9.777     3.2323       5.20       1.31
  9208.5    64.611     10.311      9.233    10.5339      17.10      57.90
  9209.5    64.773     10.994      7.713     6.3945      16.90     167.00
  9210.5    63.128     10.807      9.369     6.2288      12.20      28.80
  9211.5    60.792      9.627     12.842     6.6173      13.90      39.00
  9212.5    59.058      6.460     12.550     3.5057       7.00       4.39
  9213.5    59.314      6.832     10.855     4.0769       9.30       5.71
  9214.5    57.732      5.155     10.908     2.1783       6.50       2.81
  9215.5    57.839      6.025     13.442     3.5618       7.00       4.39
  9216.5    58.210      8.323     12.685     1.4876       7.10       2.55
  9217.5    57.807      6.211     12.145     1.0107       6.40       4.31
  9218.5    56.927      4.472     11.784     2.9482       4.80       2.10
  9219.5    55.826      3.913     13.346     1.1847       1.80       0.50
  9220.5    54.747      1.180     12.798     4.8994       1.50       1.39
  9221.5    54.324      2.733     12.883     1.5729       1.80       0.41
  9222.5    53.734      3.727     13.693     2.3490       5.00       1.62
  9223.5    56.647      4.099     12.511    10.6961       9.90      14.00
  9224.5    59.764      5.031     10.463     8.9765      12.40      24.60
  9225.5    61.052      6.460     10.164     5.7147       7.70       0.23
  9226.5    59.233      5.963      8.307     4.7577       9.00      11.20
  9227.5    58.398      3.292      7.869     4.8948      10.60    1418.00
  9228.5    59.505      6.087     10.069     2.1635       5.10       3.25
  9229.5    61.674      8.758      8.414     1.1638      12.10     139.00
  9230.5    65.254      8.944      7.201     6.6826       8.40      16.20
  9231.5    67.033     14.037      6.849     7.0496      13.30      36.50
  9232.5    66.440     14.348      7.901     9.4929      18.10    1151.00
  9233.5    69.867     11.429      8.333     5.9770      10.90       9.07
  9234.5    75.715     16.894      7.634    20.0134      13.50     132.00
  9235.5    79.296     22.360      7.744    10.7624      25.60     814.00
  9236.5    79.126     26.460      8.756    15.3303      25.20     653.00
  9237.5    72.124     22.112      9.876    18.1390      25.00     444.00
  9238.5    64.721     14.161      8.959     6.3191      18.90     311.00
  9239.5    62.476      9.565      9.205    10.5333      12.60      39.10
  9240.5    63.681      9.255      8.745     6.2234      10.60     361.00
  9241.5    63.018      8.323      9.685    15.6357      10.00      67.00
  9242.5    63.679      8.323      9.742     9.1132      15.40     146.00
  9243.5    65.623     10.311     10.006    12.0924      11.50      42.00
  9250.0    56.866      2.174      9.282     2.3564       4.00       0.16
