Rock_Type	Porosity	Permeability
1	0.043	1.5
1	0.081	4.17
1	0.081	15.7
1	0.056	5.7
1	0.074	4.45
1	0.043	0.21
1	0.087	61.5
1	0.03	0.32
1	0.021	0.54
1	0.05	1.46
1	0.069	3.49
1	0.088	8.36
1	0.046	3.91
1	0.046	2.81
1	0.033	0.22
1	0.069	0.45
1	0.057	0.16
1	0.037	0.44
1	0.081	5.2
1	0.027	0.07
1	0.083	2
1	0.05	0.76
1	0.048	1.1
2	0.102	1.45
2	0.134	10.58
2	0.059	0.35
2	0.042	0.45
2	0.032	0.08
2	0.072	0.3
2	0.04	1.51
2	0.045	0.35
2	0.069	0.14
2	0.089	2.29
2	0.065	0.57
2	0.071	1.56
2	0.086	0.58
2	0.086	1.93
2	0.095	3.05
2	0.075	1.55
2	0.057	3.46
2	0.06	1.21
2	0.061	2.79
2	0.015	0.15
2	0.078	1.23
2	0.12	20.49
2	0.034	0.6
2	0.034	0.61
2	0.035	0.24
2	0.034	0.11
2	0.072	1.25
2	0.07	0.46
2	0.062	0.5
2	0.087	0.39
2	0.048	0.13
2	0.052	1.2
2	0.109	3.1
2	0.025	0.02
2	0.11	8.1
2	0.1	0.89
2	0.071	1
2	0.077	0.18
2	0.076	0.35
2	0.041	0.69
2	0.017	0.19
2	0.039	0.08
3	0.066	0.22
3	0.017	0.02
3	0.035	0.01
3	0.02	0.06
3	0.026	0.01
3	0.047	0.03
3	0.052	0.01
3	0.028	0.1
3	0.031	0.01
3	0.033	0.01
3	0.009	0.01
3	0.014	0.01
3	0.032	0.02
3	0.009	0.02
3	0.009	0.01
3	0.023	0.05
3	0.026	0.01
3	0.039	0.03
3	0.014	0.04
3	0.055	0.12
3	0.025	0.02
3	0.03	0.02
3	0.019	0.02
3	0.012	0.01
3	0.02	0.01
3	0.06	0.09
3	0.028	0.01
3	0.028	0.03
3	0.028	0.01
3	0.033	0.1
3	0.049	0.22
3	0.048	0.04
3	0.051	0.16
3	0.042	0.01
3	0.042	0.01
3	0.08	0.58
3	0.065	0.22
3	0.061	0.15
3	0.018	0.01
3	0.014	0.01
3	0.022	0.01
3	0.013	0.01
3	0.018	0.01
3	0.029	0.02
3	0.04	0.05
3	0.078	0.33
3	0.043	0.21
3	0.029	0.01
3	0.054	0.01
3	0.035	0.01
3	0.044	0.08
3	0.03	0.01
3	0.012	0.01
3	0.085	0.53
3	0.02	0.04
3	0.019	0.01
3	0.077	2.1
3	0.091	0.65
3	0.02	0.04
3	0.0008	0.02
3	0.047	0.01
3	0.053	0.12
3	0.024	0.01
3	0.068	0.24
3	0.057	0.04
3	0.065	0.25
3	0.069	0.41
3	0.012	0.01
3	0.066	0.33
3	0.045	0.06
3	0.026	0.01
3	0.037	0.04
3	0.015	0.01
3	0.01	0.01
3	0.005	0.01
3	0.092	1.96
3	0.007	0.01
3	0.089	0.14
3	0.079	0.23
3	0.093	1.89
3	0.024	0.01
3	0.079	2.06
3	0.072	0.19
3	0.051	0.11
3	0.148	1.72
3	0.148	1.72
3	0.105	1.9
3	0.036	0.25
3	0.044	0.01
3	0.014	0.01
3	0.029	0.01
3	0.018	0.09
3	0.055	0.08
3	0.025	0.17
3	0.02	0.07
3	0.038	0.07
3	0.092	0.23
3	0.119	1.8
3	0.029	0.01
3	0.078	0.21
3	0.07	0.33
3	0.054	0.01
3	0.1	0.68
3	0.036	0.01
3	0.042	0.01
3	0.039	0.03
3	0.021	0.01
3	0.042	0.01
3	0.067	0.45
3	0.091	0.43
3	0.045	0.04
3	0.12	1.1
3	0.034	0.01
3	0.054	0.07
3	0.085	0.28
3	0.045	0.01
3	0.036	0.02
3	0.025	0.11
3	0.04	0.07
3	0.071	0.06
3	0.042	0.05
3	0.022	0.01
3	0.003	0.01
3	0.112	0.52
3	0.036	0.06
3	0.028	0.01
3	0.007	0.01
3	0.035	0.01
3	0.042	0.1
3	0.044	0.09
3	0.06	0.07
3	0.045	0.07
3	0.039	0.02
5	0.076	0.05
5	0.059	0.01
5	0.114	0.24
5	0.077	0.01
5	0.08	0.07
5	0.073	0.11
5	0.136	0.68
5	0.079	0.28
5	0.068	0.01
5	0.028	0.03
5	0.037	0.03
