y	x1	x2	x3

0.2829	0.3028	0.0741	-0.0416
-0.13	-0.3027	0.4823	-0.2779
-0.3788	-0.3437	-0.2541	-0.4093
-0.2973	-0.4413	-0.4133	0.1376
-0.1528	-0.1883	-0.3419	-0.4938
-0.2152	-0.4148	-0.3093	-0.1734
0.272	0.1735	0.1289	-0.2403
-0.4224	-0.4168	-0.0248	0.3453
-0.1139	-0.1603	0.0833	0.2482
0.0927	0.1949	0.2014	0.1416
0.4743	0.3513	-0.2897	-0.0638
-0.256	-0.4759	0.4922	0.186
0.343	0.332	0.2539	0.1759
0.5028	0.3991	0.4295	-0.2683
0.1572	-0.0968	0.4882	0.4221
-0.1922	-0.2007	-0.0264	-0.3036
-0.4085	-0.4964	0.3429	0.2852
0.2256	0.0037	-0.2467	0.3166
0.4833	0.3397	-0.0357	-0.1794
-0.0892	-0.2048	0.2697	0.1588
0.3457	0.4311	-0.3337	-0.4559
-0.3601	-0.4089	0.2456	-0.4774
0.1994	-0.0038	-0.4652	-0.0053
0.2565	0.2746	-0.0558	-0.1381
0.0765	0.2011	0.0981	-0.4785
0.4851	0.4362	0.3081	-0.0107
0.0018	-0.0521	0.0329	-0.1216
-0.0018	-0.1861	0.3737	0.245
-0.4546	-0.4772	-0.3438	-0.3314
-0.104	-0.0991	-0.176	0.2864
-0.229	-0.3211	-0.1214	-0.0931
0.4658	0.2073	0.3964	0.1711
-0.1944	-0.2456	-0.0088	0.0438
-0.279	-0.2927	-0.018	-0.1244
0.1758	-0.1621	0.4968	0.0199
-0.2076	-0.2848	0.0114	0.3586
-0.5904	-0.4793	0.1602	-0.4199
-0.157	-0.3086	0.2279	0.3921
-0.1577	-0.3029	-0.3888	0.291
0.5355	0.2789	0.4376	0.2034
0.5041	0.372	-0.4505	0.3994
-0.0362	0.0129	0.3576	-0.497
0.4627	0.4794	-0.1124	0.4431
0.8002	0.4655	0.295	0.4613
-0.1041	-0.2646	-0.0939	0.3301
-0.3039	-0.3705	-0.4609	0.1286
-0.1452	-0.1394	0.1103	0.406
-0.0585	0.0088	-0.0431	0.2174
0.5527	0.399	0.4601	0.2497
-0.4234	-0.4514	0.2356	-0.2664
0.3083	0.1621	0.4064	-0.096
-0.204	-0.0801	-0.0748	-0.4262
0.4783	0.1707	-0.3706	0.1571
-0.318	-0.4415	-0.403	0.0521
-0.2329	-0.0524	-0.2093	-0.4295
0.4146	0.2314	0.3251	0.1205
-0.0692	-0.2277	-0.486	0.2424
0.2573	0.0064	0.4753	-0.1391
0.3471	0.3077	-0.1634	0.2379
0.6123	0.4073	0.2852	0.2586
0.2636	0.2167	0.3902	0.3852
-0.2469	-0.289	-0.2939	-0.4085
0.4977	0.1976	0.4005	0.4731
0.1681	0.1172	0.2313	-0.0088
0.3692	0.428	-0.056	0.2195
0.3667	0.2466	0.1764	0.0064
0.3289	-0.1276	0.3288	0.442
0.2196	0.1429	0.3094	0.0451
0.0749	-0.0311	-0.2668	0.2051
-0.2667	-0.3097	0.2627	0.38
0.2115	0.0432	-0.2595	0.3452
-0.0702	-0.0811	-0.0031	0.0984
-0.1808	-0.0537	0.1435	-0.4568
0.3764	0.4015	-0.0685	0.2213
0.1124	0.0407	0.0953	0.0029
0.379	0.4493	0.1162	-0.024
0.2802	0.1195	0.4534	0.2456
-0.0558	-0.1357	0.2175	0.3184
0.0846	-0.1312	0.3414	-0.006
0.5329	0.4802	0.0792	0.4647
-0.0567	-0.084	-0.1399	-0.3785
0.1531	-0.2958	-0.4327	-0.2977
0.0745	-0.0714	0.0579	0.4026
0.6174	0.2541	0.4496	0.2698
0.0249	-0.0838	0.2251	0.2119
-0.0878	-0.2561	0.4104	0.054
-0.0677	-0.2485	0.4357	-0.1601
0.1326	-0.0521	-0.0562	0.4444
-0.0204	-0.1671	-0.2098	0.4272
0.4938	0.4681	0.4502	-0.1322
0.487	0.4449	0.2275	0.2559
0.266	0.2298	0.4985	0.0274
-0.1499	-0.3124	0.2312	0.0672
0.0196	-0.0306	-0.3263	-0.3588
-0.2191	-0.0505	0.1285	0.2849
0.4261	0.4292	0.3032	-0.0144
0.2779	0.3715	0.323	-0.4821
-0.0854	-0.168	0.266	-0.4241
0.1786	0.2862	0.0228	0.274
0.4701	0.4011	-0.2721	0.4317
0.1593	0.0505	-0.3443	0.0489
-0.1816	-0.2061	0.0207	-0.0002
-0.0007	-0.1073	0.3047	-0.1477
0.0472	-0.1339	0.1819	0.382
0.6826	0.4245	-0.3698	0.4494
0.531	0.3904	-0.0234	-0.2201
0.5202	0.4931	0.1037	0.3778
-0.3476	-0.4005	0.2654	0.2066
-0.1594	-0.0889	0.0809	-0.3888
0.5644	0.2733	-0.4927	0.3813
0.3781	0.1451	0.4575	-0.0824
0.522	0.2627	0.3596	0.4236
0.4177	0.2994	0.1566	0.3037
0.2948	0.2269	0.1699	0.4541
0.3846	0.3283	0.2985	-0.1408
-0.0682	-0.284	0.394	0.2564
0.5268	0.3248	-0.4184	-0.3518
0.4397	0.4859	-0.1541	-0.1555
0.1459	0.0289	0.4411	0.0501
-0.0673	-0.3389	-0.4012	-0.1758
-0.2154	-0.2353	-0.2344	0.3269
-0.266	-0.249	-0.3475	-0.4366
0.3891	0.4388	0.0183	-0.4595
0.243	0.0907	-0.3737	0.2129
0.2785	0.2483	-0.0564	0.1407
0.4856	0.3518	0.3312	-0.3123
-0.591	-0.4771	0.2753	-0.3865
0.352	0.3791	-0.0996	-0.0821
-0.2153	-0.1925	-0.1921	-0.1854
-0.4252	-0.4718	-0.3379	0.2637
0.2385	-0.015	-0.4153	0.4679
0.3785	0.4099	0.1398	-0.0917
0.086	0.2277	-0.105	-0.0197
0.0474	-0.0401	0.3528	0.0907
-0.3684	-0.4321	0.3356	-0.1807
-0.2928	-0.2704	-0.2182	0.0846
0.3008	0.1197	0.0885	-0.1806
0.2784	0.4298	0.1832	-0.4934
-0.4816	-0.4731	0.3006	0.2548
-0.2989	-0.2059	-0.0076	-0.0597
-0.223	-0.4885	-0.4574	0.1524
0.7258	0.462	-0.1907	0.0379
0.4928	0.4475	-0.0277	-0.0759
-0.4259	-0.3375	0.3026	-0.4558
0.4349	0.301	0.3229	0.109
0.446	0.4599	0.017	0.4284
-0.3001	-0.3058	-0.3217	-0.4334
-0.5273	-0.4434	-0.1586	0.0293
0.591	0.2718	0.4098	0.4642
0.0404	-0.073	-0.3501	0.3948
-0.1737	-0.3488	0.3159	-0.0161
-0.5356	-0.463	-0.3946	-0.4669
-0.3147	-0.3581	-0.4484	0.0236
0.3553	0.2854	-0.0105	0.0037
-0.1191	-0.2018	-0.1996	-0.0333
0.6914	0.4972	0.2565	0.3631
0.2475	0.4556	0.086	-0.317
0.8464	0.494	0.488	0.4774
0.3763	0.3879	0.0244	-0.2081
0.1582	-0.2221	0.4916	0.2433
0.123	-0.1154	0.302	-0.1631
0.7992	0.442	0.4906	0.4468
0.1484	0.1932	-0.3553	-0.2979
0.2894	0.3907	-0.0957	-0.3541
0.3074	0.222	-0.0282	0.4215
-0.1511	-0.2269	-0.1487	0.359
-0.0115	-0.1859	-0.2948	0.0822
