p_sat,temperature,gamma_s,API,Rs,Bo_psat,Bg_psat,visc_o_psat,source,gamma_c,HGOR
3501.0,174.0,0.8357490900679266,46.65896113844357,1667.76868235057,1.90557860707684,,0.1800575556996,PVT_Data,0.8262122256427121,False
6415.0,159.0,0.7380274973641398,42.1,3188.8071,,,,PVT_Data,0.7304286228935999,True
3265.0,157.0,0.8500077412459377,44.23,1133.446269160754,1.5996,,0.306,PVT_Data,0.8408131071347162,False
5575.0,190.0,0.7442724021475052,51.48,8422.6289,,0.0006406190942927245,,PVT_Data,0.7349018520873694,True
3415.0,153.0,0.8495818978102191,45.07,1371.0,1.7247,,0.254,PVT_Data,0.8402173364491073,False
2965.0,156.0,0.8423377936670071,41.5,979.0,1.5277,,0.386,PVT_Data,0.8337885240225207,False
4215.0,135.0,0.7906852755207137,43.13,1748.1535,1.3649,,,PVT_Data,0.7823450510252461,False
2915.025,132.0,0.819369498464688,39.19,977.0,1.4986911732675505,,0.449,PVT_Data,0.8115162436742503,False
325.025,90.0,1.2951339285714287,42.1,224.0,1.1681,,1.172,PVT_Data,1.2817989780703967,False
2515.0,155.0,0.8694672991071429,42.65,895.0,1.4925,,0.268,PVT_Data,0.8603981421199467,False
3162.0,157.0,0.8515016949152542,42.0,1179.0,1.60509955102035,,0.296,PVT_Data,0.8427552928318703,False
2915.0,157.0,0.8712595864661653,42.8,1064.0,1.5654,,0.309,PVT_Data,0.8621397726939256,False
3981.0,144.0,0.772042692939245,45.6,1827.0,1.88574002017762,,0.184,PVT_Data,0.763432739736544,False
3765.025,164.0,0.79283404776485,47.66,1633.0,1.905,,0.209,PVT_Data,0.7835927926031965,False
4115.0,165.0,0.8064807010788095,44.5,1921.8963562753036,2.032,,0.133379678640283,PVT_Data,0.7977036500837443,False
2115.0,142.0,0.9261671985815603,38.86,564.0,1.3082,,0.593,PVT_Data,0.9173650879363928,False
3365.0,170.0,0.8851702661855089,41.82,1226.0,1.6619,,0.257,PVT_Data,0.8761169960976452,False
2865.0,138.0,0.8846938679245282,39.52,848.0,1.4198,,0.456,PVT_Data,0.8761431105354418,False
2835.0,149.0,0.8945490476190476,39.23,840.0,1.4476,,0.387,PVT_Data,0.8859664826989988,False
2615.0,156.0,0.8979831763122477,40.68,743.0,1.3937,,0.381,PVT_Data,0.889049220998164,False
2965.0,164.0,0.8633991085775894,40.47,975.0,1.5153,,0.368,PVT_Data,0.8548535701450225,False
4280.0,170.0,0.7874055673215338,46.5,2124.0,2.137236168095581,,0.167,PVT_Data,0.7784509699066686,True
5187.0,161.0,0.780231337054357,47.21,4971.75,,0.000644155575999999,,PVT_Data,0.7712228466338997,True
4375.0,167.0,0.8042764137123539,47.52,2645.0,2.3554,,0.177,PVT_Data,0.794929324321469,True
5183.0,157.0,0.747422557910752,47.57,4389.254,,0.0006416426050689766,,PVT_Data,0.7387270694334402,True
4088.0,148.0,0.8016330965315503,47.6,2393.0,2.21307397815868,,0.147,PVT_Data,0.7923010429555222,True
4328.65,143.0,0.8055714285714286,45.352893388326464,2261.0,2.192,,0.166,PVT_Data,0.7966362407700488,True
3565.0,142.0,0.8344460287679801,44.32,1598.0,1.8241,,0.259,PVT_Data,0.8254013606580688,False
