p_sat,Rgo,Bo,Bg,Bw,Visc_o,Visc_g,Visc_w
325.025,23.96116255,1.023602047,0.007156551,1.006263962,7.57614318,0.009763313,0.765789572
1265.025,253.0737415,1.185733812,0.002039628,1.023237948,1.137748199,0.014795375,0.439453488
1614.996,479.4958875,1.27879186,0.001455199,1.025190289,0.702950491,0.017642199,0.423456624
1614.996,491.5246349,1.288521848,0.0014927,1.028353635,0.680795556,0.017650795,0.397571202
1714.996,521.8629108,1.300587884,0.001358235,1.026599933,0.652557191,0.018669388,0.412055806
2115,630.9769613,1.341129268,0.001013233,1.01753108,0.593985351,0.022092055,0.509421463
2212,804.9806296,1.473070544,0.001244614,1.048099308,0.367940184,0.021461457,0.299630937
2215,693.2674319,1.382595067,0.001032276,1.021735068,0.534894009,0.021829844,0.459669295
2236.696,699.2790082,1.387218611,0.001048767,1.021097297,0.536279559,0.020825522,0.466526237
2265,721.8437696,1.394157007,0.001033461,1.024078051,0.527141469,0.022079845,0.436890096
2290,708.3127479,1.385244061,0.000960165,1.018652144,0.530728325,0.023208207,0.495090587
2327,746.6373201,1.411843067,0.001001426,1.021827451,0.501293045,0.022081992,0.45907127
2356,880.5375767,1.510302867,0.001167036,1.047791969,0.332792573,0.022650014,0.301760821
2364.696,762.1454848,1.421662866,0.001012528,1.021156552,0.497471679,0.021066824,0.466250643
2415,735.2204864,1.390451812,0.000924928,1.015588315,0.546011432,0.022476135,0.53723775
2515,836.91344,1.45612629,0.000935682,1.020567367,0.459923305,0.022958258,0.472994703
2515,807.9182232,1.433887093,0.000907755,1.018805336,0.48775132,0.023831968,0.493442083
2528,813.6120145,1.437357003,0.00092016,1.019950006,0.488174111,0.023448907,0.479937344
2551,826.8126783,1.443399537,0.000897011,1.019317334,0.477275147,0.024377048,0.487314981
2562,855.2306359,1.46344475,0.000914816,1.019882533,0.455058379,0.02337429,0.480753961
2615,865.0044108,1.46463778,0.000893661,1.020664338,0.456883039,0.024531804,0.472102675
2656.22,915.0174084,1.493398599,0.000884712,1.022081601,0.421401584,0.025448513,0.457349998
2665,978.2976581,1.54335119,0.000978758,1.031309711,0.36821776,0.023109688,0.383119374
2665,927.3109503,1.507079506,0.000942826,1.028017493,0.407160876,0.023983217,0.40598114
2665,789.0726742,1.4011992,0.000747574,1.011864514,0.521870341,0.034421574,0.600164801
2737,1034.429328,1.568676128,0.00093173,1.027861788,0.355069189,0.023804417,0.407459046
2765,951.9924819,1.514226088,0.000898325,1.026197206,0.408378037,0.02511502,0.420547251
2774.696,1052.529254,1.578305531,0.000929527,1.02875415,0.34872348,0.02389181,0.401067414
2788,965.7369717,1.519313097,0.000879308,1.021201371,0.417123739,0.023817931,0.466616629
2814.696,1003.197153,1.540111214,0.000874469,1.021144286,0.398680697,0.023836536,0.46724938
2835,925.9118454,1.486937529,0.000819563,1.018153394,0.450499737,0.026648002,0.50146311
2865,917.8524049,1.477331134,0.000787866,1.014975052,0.462454216,0.027423749,0.545264829
2865,985.7870555,1.521941988,0.000823623,1.018961946,0.414896082,0.026355134,0.49161092
