p_sat,Rgo,Bo,Bg,Bw,Visc_o,Visc_g,Visc_w
3501,1189.410205,1.649468572,0.000771632,1.024137073,0.269711814,0.02719074,0.439542044
6415,1917.667712,1.983926731,0.00053964,1.010061188,0.259248025,0.03692475,0.569246652
3265,1073.399646,1.574258872,0.000770368,1.019530755,0.334155948,0.027384598,0.48472987
5575,2066.60068,2.112946704,0.000609583,1.022701827,0.17318118,0.032133872,0.448194057
3415,1178.883402,1.622907636,0.00073862,1.017994814,0.316074607,0.028648768,0.502247531
2965,864.1837035,1.469758275,0.000828159,1.019921781,0.41700657,0.025187712,0.480559198
4215,1383.900655,1.70716374,0.000629499,1.010873238,0.344137699,0.032182509,0.599430282
2915.025,807.8240288,1.424744735,0.000785984,1.013227594,0.569491076,0.025635079,0.573338298
325.025,119.7562761,1.068482466,0.007156551,1.006263962,2.675489735,0.009763313,0.765789572
2515,766.0889324,1.422541115,0.000935682,1.020567367,0.42804743,0.022958258,0.472994703
3162,957.1181905,1.514733262,0.000787979,1.019772218,0.384709982,0.026761848,0.482145383
2915,914.5588695,1.494466857,0.000831295,1.020328899,0.382676526,0.025784925,0.476059451
3981,1344.731621,1.702194435,0.000667506,1.013977126,0.304541997,0.029295768,0.55233162
3765.025,1309.945803,1.705625048,0.000724028,1.020367944,0.261258359,0.02766651,0.474930732
4115,1323.500322,1.70418524,0.000683546,1.019706671,0.285227137,0.030008204,0.480795402
2115,600.5028568,1.326738021,0.001013233,1.01753108,0.63573745,0.022092055,0.509421463
3365,1029.398556,1.55486032,0.000773222,1.023231165,0.346643243,0.028485759,0.447433695
2865,851.1694976,1.445835161,0.000787866,1.014975052,0.517269418,0.027423749,0.545264829
2835,817.4940882,1.435660466,0.000819563,1.018153394,0.494162697,0.026648002,0.50146311
2615,771.0575433,1.42013761,0.000893661,1.020664338,0.458621674,0.024531804,0.472102675
2965,837.1581815,1.458710532,0.000840854,1.022328175,0.420684023,0.025409508,0.455474271
4280,1430.592362,1.766443006,0.000677479,1.020748115,0.252253091,0.02970021,0.469839828
5187,1872.815551,1.971628378,0.000598499,1.015178979,0.22479825,0.034209993,0.523675353
4375,1566.691358,1.829084268,0.000662483,1.019552386,0.237302698,0.031104943,0.48138089
5183,1836.762512,1.955562237,0.000594584,1.014031726,0.228694026,0.032834845,0.537870281
4088,1529.172954,1.794375853,0.000659533,1.014811008,0.26172393,0.030920505,0.539446978
4328.65,1540.621907,1.790724432,0.000631037,1.012734877,0.286858708,0.032845894,0.567050854
3565,1224.748856,1.635977607,0.000700043,1.014490735,0.338478051,0.029861193,0.548380025
4451,1720.600756,1.878933287,0.000629989,1.014625853,0.253379703,0.036042522,0.538496985
3995,1370.040516,1.720754867,0.000685852,1.019142856,0.280806118,0.031336634,0.487182282
3955,1383.047608,1.709074209,0.000655214,1.012937697,0.322469426,0.032464923,0.568470947
3865,1316.081163,1.681639895,0.000674461,1.015129733,0.321553956,0.031662329,0.53690496
4217,1636.196656,1.838205047,0.000641409,1.013887695,0.260776209,0.033881986,0.55121035
4145,1542.060535,1.806204469,0.000667098,1.017537344,0.250363091,0.031659773,0.504484383
3465,1136.980517,1.594030927,0.000714387,1.014178508,0.362755323,0.028269351,0.553856971
2515,739.6546808,1.401580474,0.000907755,1.018805336,0.492624852,0.023831968,0.493442083
2215,643.1968355,1.358881841,0.001032276,1.021735068,0.504257807,0.021829844,0.459669295
3165,1076.922937,1.577904797,0.000794908,1.023405072,0.316354456,0.028690736,0.445610411
5655,1683.589735,1.872311256,0.000578497,1.014706715,0.274279847,0.035654735,0.523745813
3865,1101.844134,1.591611237,0.00071071,1.020401683,0.349434687,0.028729735,0.474371718
4820,1898.788981,2.016557761,0.000642388,1.020919347,0.184601661,0.030553298,0.466330374
3815,1282.671014,1.670297383,0.000686291,1.015829859,0.315877257,0.030155049,0.527770379
3565,1277.989752,1.674557803,0.000721374,1.017333796,0.289087938,0.028590262,0.509798312
4271,1766.986439,1.885000814,0.000612735,1.009126984,0.274651279,0.036361491,0.631286116
5335,1873.86884,2.009944594,0.000622789,1.023260655,0.190641109,0.03187559,0.444659876
3615,1258.105653,1.653487161,0.000696278,1.014645982,0.326559314,0.029993018,0.545710682
3992,1428.173862,1.759676035,0.000698805,1.021269945,0.249997842,0.030397862,0.465507749
3865,1291.259759,1.678064479,0.000688932,1.017138041,0.306081299,0.030223802,0.510786461
6058,2358.377764,2.194843578,0.000540211,1.007565112,0.206299673,0.036840015,0.615569506
3365,964.9028967,1.495706764,0.00070054,1.011430732,0.532243395,0.029562908,0.601475323
2415,627.0762479,1.33938009,0.000924928,1.015588315,0.677136162,0.022476135,0.53723775
5435,2018.607328,2.09241871,0.00062024,1.023866543,0.172795601,0.031629149,0.43969105
4535,1558.669773,1.837450619,0.000664905,1.022140647,0.227321683,0.030355691,0.456268783
4575,1615.605528,1.864012201,0.000659558,1.021703429,0.221722301,0.030876596,0.460059254
5238,1773.970296,1.944078296,0.000617971,1.020750367,0.213941245,0.032611841,0.465984507
5055,1790.290977,1.956675565,0.00063209,1.022012163,0.203830266,0.03207901,0.455797065
5210,1995.980433,2.085984885,0.000638199,1.025661001,0.168073757,0.03110062,0.426995394
5019,1955.12575,2.04056758,0.000634054,1.022134876,0.184359938,0.032532911,0.454881135
4786,1834.678874,1.997799726,0.000656608,1.023548616,0.180653664,0.029532351,0.443792195
5326,2034.777825,2.083428396,0.000614992,1.021066349,0.180690005,0.032621493,0.462783827
5217,1968.263899,2.0548778,0.00062648,1.022719585,0.181281278,0.032122198,0.449358745
5179,1992.565488,2.107745689,0.000651611,1.028438603,0.156586797,0.029466194,0.408271142
4756.025,1637.646255,1.853917094,0.000620859,1.015420565,0.252488296,0.032342328,0.525216998
5249.65,1620.322921,1.837340094,0.000575499,1.009884385,0.288133279,0.031681443,0.59674375
4315.025,1401.789816,1.749067555,0.000668612,1.019127123,0.265200947,0.029412085,0.486045382
2965,882.9407268,1.471257349,0.000802365,1.017298145,0.44292409,0.026092541,0.512167826
